offer_id,portal,job_title,company,location,seniority_raw,seniority_group,work_mode_raw,work_mode_group,employment_raw,employment_group,category_raw,category_group,tools_raw,salary_raw,salary_disclosed,record_quality,source_url,access_date,tasks_competencies,requirements,fit_notes,status_raw,duplicate_source_url,duplicate_title_company
16,Pracuj.pl,Młodszy Specjalista ds. Dokumentacji Transakcyjnej (k/m),LipCo Foods International,Lublin,junior,Junior / entry,stacjonarna,On-site,umowa o pracę,Employment contract,dokumentacja / przetwarzanie danych,Information & documentation,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-dokumentacji-transakcyjnej-k-m-lublin-zimna-2%2Coferta%2C1004938600,2026-07-09,"dokumentacja transakcyjna, obieg informacji",junior,pasuje – dokumentacja i informacja organizacyjna,zweryfikowana,No,No
17,RocketJobs,"Młodszy Analityk / Młodsza Analityczka w dziale QRS (Quality, Risk & Security)",Deloitte Business Delivery Solutions,Rzeszów,junior,Junior / entry,brak informacji,Unknown,brak informacji,Unknown,analityczne / risk / quality,Data analysis,"Excel, MS Office",brak informacji,No,Verified,https://rocketjobs.pl/oferta-pracy/deloitte-business-delivery-solutions-mlodszy-analityk-mlodsza-analityczka-w-dziale-qrs-quality-risk-security--rzeszow-bi-data,2026-07-09,"analiza, jakość, ryzyko, bezpieczeństwo",wykształcenie wyższe,"pasuje – analiza informacji, jakość, ryzyko",zweryfikowana,No,No
18,Pracuj.pl,Młodsza/Młodszy Specjalista ds. Strategii i Projektów (obszar analiz biznesowych),MPWiK w m.st. Warszawie S.A.,Warszawa,junior/mid,Junior–Mid,stacjonarna,On-site,umowa o pracę,Employment contract,analizy biznesowe / strategia,Business & systems analysis,"MS Office, Excel, PowerPoint",5 800–8 000 zł brutto/mies. dla młodszego specjalisty,Yes,Verified,https://www.pracuj.pl/praca/mlodsza-starsza-specjalistka-mlodszy-starszy-specjalista-ds-strategii-i-projekto-warszawa-czerniakowska-124%2Coferta%2C1004956310,2026-07-09,"analizy strategiczne, raporty, dane w systemach, sprawozdania",min. 1 rok preferowany,"pasuje – raportowanie, analiza, systemy, dane",zweryfikowana,No,No
19,Pracuj.pl,Młodszy Kierownik Projektu / Analityk IT (k/m/os.),ASSECO DATA SYSTEMS S.A.,Szczecin,junior / koordynator,Junior–Mid,hybrydowa,Hybrid,umowa o pracę,Employment contract,analiza IT / projekty,Business & systems analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/mlodszy-kierownik-projektu-analityk-it-k-m-os-szczecin-krolowej-korony-polskiej-21%2Coferta%2C1004913881,2026-07-09,"analiza IT, koordynacja informacji projektowej",brak informacji,pasuje częściowo – analiza IT i informacja projektowa,zweryfikowana,No,No
20,Pracuj.pl,Junior Revenue Analyst (K/M) Data & Pricing Hospitality / Młodszy Analityk Przychodów,FOREST MIĘDZYZDROJE sp. z o.o.,Międzyzdroje,junior,Junior / entry,brak informacji,Unknown,brak informacji,Unknown,revenue/data/pricing,Data analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/junior-revenue-analyst-k-m-data-pricing-hospitality-mlodszy-analityk-przychodow-miedzyzdroje-ustronie-lesne-13%2Coferta%2C1004893803,2026-07-09,"analiza przychodów, dane, polityka cenowa",junior,pasuje – analiza danych i polityka cenowa,zweryfikowana,No,No
21,Pracuj.pl,"Analityk / Analityczka (Sprzedaż, CRM, Rynek)",Human Group,Cała Polska / zdalnie,mid,Mid+,zdalna,Remote,B2B,B2B,CRM / analiza rynku,Business & systems analysis,brak informacji,11 000–16 000 zł netto + VAT/mies.,Yes,Verified,https://www.pracuj.pl/praca/analityk-analityczka-sprzedaz-crm-rynek-warszawa%2Coferta%2C1004924123,2026-07-09,"CRM, sprzedaż, rynek, analiza danych",mid,"pasuje merytorycznie, ale nie junior",zweryfikowana – porównawczo,No,No
22,Pracuj.pl,Analityk Biznesowy / Analityczka Biznesowa,ProService Finteco Sp. z o.o.,Cała Polska / zdalnie,mid/senior,Mid+,zdalna/hybrydowa,Hybrid,umowa o pracę,Employment contract,analiza biznesowa,Business & systems analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/analityk-biznesowy-analityczka-biznesowa-warszawa-konstruktorska-12a%2Coferta%2C1004956211,2026-07-09,"analiza biznesowa, procesy, informacja organizacyjna",mid/senior,"pasuje merytorycznie, ale raczej nie entry-level",zweryfikowana – porównawczo,No,No
23,Pracuj.pl,Analityk systemowy (K/M),CodeTalent Sp. z o.o.,Warszawa,mid,Mid+,stacjonarna,On-site,umowa o pracę / B2B,Multiple options,analiza systemowa,Business & systems analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/analityk-systemowy-k-m-warszawa-marcina-kasprzaka-31%2Coferta%2C1004923615,2026-07-09,"analiza systemowa, wymagania, procesy",mid,"pasuje merytorycznie, ale nie junior",zweryfikowana – porównawczo,No,No
24,Pracuj.pl,Data Analyst,Mindbox Sp. z o.o.,Kraków,mid,Mid+,brak informacji,Unknown,brak informacji,Unknown,data analyst,Data analysis,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/data-analyst-krakow%2Coferta%2C1004897445,2026-07-09,analiza danych,mid,"pasuje merytorycznie, ale nie junior",zweryfikowana – porównawczo,No,No
25,Pracuj.pl,Specjalista ds. Dokumentacji Wdrożeniowej (K/M),Grupa VIRTU,Zawiercie,mid,Mid+,brak informacji,Unknown,brak informacji,Unknown,dokumentacja / wdrożenia,Information & documentation,brak informacji,brak informacji,No,Verified,https://www.pracuj.pl/praca/specjalista-ds-dokumentacji-wdrozeniowej-k-m-zawiercie-losnicka-35%2Coferta%2C1004953523,2026-07-09,"dokumentacja wdrożeniowa, obieg informacji",mid,pasuje – dokumentacja i informacja organizacyjna,zweryfikowana,No,No
26,Pracuj.pl,Junior Business Analyst,EPAM Systems,Kraków / cała Polska zdalnie,junior,Junior / entry,zdalna,Remote,umowa o pracę / B2B,Multiple options,analiza biznesowa / AI/ML,Business & systems analysis,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/junior-business-analyst-krakow-fabryczna-1a%2Coferta%2C1004721234,2026-07-09,analiza biznesowa,junior,pasuje – junior business analyst,archiwalna/ wygasła wg źródła,No,No
27,Pracuj.pl,Junior Reporting Analyst with Python (M/F/D),DSV GBS,Warszawa,junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę,Employment contract,raportowanie / Python,Reporting & BI,Python,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/junior-reporting-analyst-with-python-m-f-d-warszawa-tasmowa-10%2Coferta%2C1004875941,2026-07-09,"raportowanie, analiza danych, automatyzacja",junior,pasuje – raportowanie i narzędzia danych,archiwalna/ wygasła 6 dni wg źródła,No,No
28,Pracuj.pl,Junior Data Quality Analyst,Docplanner Tech,Warszawa,junior,Junior / entry,brak informacji,Unknown,brak informacji,Unknown,data quality,Data governance & quality,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/junior-data-quality-analyst-warszawa%2Coferta%2C1001286076,2026-07-09,"jakość danych, weryfikacja danych",junior,pasuje – jakość danych,archiwalna,No,No
29,Pracuj.pl,Junior Data Quality Assistant,Devire,Warszawa,assistant/junior,Junior / entry,hybrydowa,Hybrid,umowa zlecenie,Civil-law contract,data quality / SAP,Data governance & quality,SAP,6 000–7 000 zł brutto/mies.,Yes,Archived direct record,https://www.pracuj.pl/praca/junior-data-quality-assistant-warszawa%2Coferta%2C1003493158,2026-07-09,"jakość danych, projekt wdrożeniowy SAP",studenci mile widziani,"bardzo pasuje – poziom wejścia, jakość danych",archiwalna,No,No
30,Pracuj.pl,Młodszy Specjalista ds. dokumentacji eksportowej,Grupa Inter Cars,Czosnów,junior,Junior / entry,stacjonarna,On-site,umowa na zastępstwo,Employment contract,dokumentacja / dane,Information & documentation,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-dokumentacji-eksportowej-czosnow-pow-nowodworski-gdanska-15%2Coferta%2C1003839455,2026-07-09,"dokumentacja eksportowa, przetwarzanie danych","angielski, polski",pasuje – dokumentacja i przetwarzanie danych,archiwalna,No,No
31,Pracuj.pl,Młodszy specjalista ds. dokumentacji (k/m/n),ONDE S.A.,Końskie,junior/asystent,Junior / entry,stacjonarna,On-site,umowa o pracę,Employment contract,dokumentacja,Information & documentation,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-dokumentacji-k-m-n-konskie%2Coferta%2C1004770535,2026-07-09,"dokumentacja, obieg informacji",junior,pasuje – dokumentacja organizacyjna,archiwalna/ była ważna do maja wg źródła,No,No
32,Pracuj.pl,Młodszy Specjalista ds. Dokumentacji Importowej (m/k),AGATA S.A.,Katowice,junior/mid,Junior–Mid,stacjonarna,On-site,umowa o pracę,Employment contract,dokumentacja importowa,Information & documentation,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-dokumentacji-importowej-m-k-katowice-aleja-walentego-rozdzienskiego-93%2Coferta%2C1004809001,2026-07-09,"dokumentacja, procesy, dane transakcyjne",angielski,pasuje – dokumentacja i procesy informacyjne,archiwalna,No,No
33,Pracuj.pl,Młodszy Specjalista ds. Dokumentacji Technicznej,ENTER AIR SERVICES Sp. z o.o.,Warszawa,junior/mid,Junior–Mid,stacjonarna,On-site,umowa zlecenie / B2B,Multiple options,dokumentacja techniczna,Information & documentation,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-dokumentacji-technicznej-warszawa-komitetu-obrony-robotnikow-74%2Coferta%2C1004185309,2026-07-09,"dokumentacja techniczna, informacje techniczne",junior/mid,pasuje – dokumentacja techniczna,archiwalna,No,No
34,Pracuj.pl,Młodszy Specjalista ds. Dokumentacji Medycznej LUXMED,LUX MED Sp. z o.o.,Warszawa,junior/asystent,Junior / entry,stacjonarna,On-site,umowa o pracę,Employment contract,dokumentacja medyczna,Information & documentation,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-dokumentacji-medycznej-luxmed-warszawa-sw-wincentego-103%2Coferta%2C1003671196,2026-07-09,"dokumentacja, dane pacjentów, obieg informacji",junior,pasuje – dokumentacja i zarządzanie informacją w ochronie zdrowia,archiwalna,No,No
35,Pracuj.pl,Młodszy Specjalista ds. Raportowania,Biedronka / Jeronimo Martins Polska S.A.,Warszawa,junior,Junior / entry,stacjonarna,On-site,umowa o pracę,Employment contract,raportowanie,Reporting & BI,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-raportowania-warszawa-dolna-3%2Coferta%2C1004473827,2026-07-09,"raportowanie, zestawienia",angielski,pasuje – raportowanie i dane,archiwalna,No,No
36,Pracuj.pl,Młodszy Specjalista ds. Raportowania i Analiz,Atman sp. z o.o.,Warszawa,junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę,Employment contract,raportowanie / analizy,Reporting & BI,brak informacji,brak informacji,No,Archived direct record,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-raportowania-i-analiz-warszawa-grochowska-21a%2Coferta%2C1003702866,2026-07-09,raportowanie i analizy,junior,pasuje – raportowanie i analiza informacji,archiwalna,No,No
37,Pracuj.pl,Junior IT Strategy Analyst (Junior PMO),B2B.NET S.A.,cała Polska / wiele lokalizacji,junior,Junior / entry,brak danych,Unknown,brak danych,Unknown,PMO / analiza IT,Business & systems analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior%20it%20data%20analyst%3Bkw,2026-07-09,"analiza strategii IT, PMO, informacja projektowa",junior,"pasuje częściowo – PMO, analiza i informacja projektowa",do weryfikacji z listy wyników,No,No
38,Pracuj.pl,Junior Data Analyst,SIMPLIFAE POLAND S.A.,"Warszawa, Mokotów",junior,Junior / entry,brak danych,Unknown,brak danych,Unknown,analityczne / dane,Data analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior%20analyst%3Bkw/warszawa%3Bwp,2026-07-09,analiza danych,junior,pasuje – junior data analyst,do weryfikacji z listy wyników,No,No
39,Pracuj.pl,Młodszy Analityk Biznesowy,Karlsbad Sp. z o.o.,Warszawa,junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę / B2B,Multiple options,analityczne / biznesowe,Business & systems analysis,brak danych,7 400–8 400 zł brutto/mies.,Yes,Needs verification,https://www.pracuj.pl/praca/m%C5%82odszy%20analityk%20biznesowy%3Bkw/warszawa%3Bwp,2026-07-09,analiza biznesowa,junior,pasuje – młodszy analityk biznesowy,do weryfikacji z listy wyników,No,No
40,Pracuj.pl,Junior Data Analyst,STAR HUNT,Warszawa,junior,Junior / entry,brak danych,Unknown,brak danych,Unknown,analityczne / dane,Data analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-data-analyst-warszawa%2Coferta%2C1004139525,2026-07-09,analiza danych,junior,pasuje – junior data analyst,archiwalna / do weryfikacji,No,No
41,Pracuj.pl,Junior Analyst PMA,Circle K Polska Sp. z o.o.,Warszawa,junior/mid,Junior–Mid,stacjonarna,On-site,umowa o pracę,Employment contract,analityczne / biznesowe,Business & systems analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-analyst-pma-warszawa-pulawska-86%2Coferta%2C1004200439,2026-07-09,"analizy, praca z danymi",angielski,pasuje częściowo – junior analyst,archiwalna / do weryfikacji,No,No
42,Pracuj.pl,Junior Analyst,Omnipack Sp. z o.o.,Warszawa,junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę,Employment contract,analityczne / operacyjne,Data analysis,brak danych,3 000–4 000 zł brutto/mies.,Yes,Needs verification,https://www.pracuj.pl/praca/junior-analyst-warszawa%2Coferta%2C1001286917,2026-07-09,analiza danych/operacji,junior,pasuje – junior analyst,archiwalna / do weryfikacji,No,No
43,Pracuj.pl,Junior Consultant / Junior Analyst,Aurelis Consulting Sp. z o.o.,Warszawa,junior/mid,Junior–Mid,stacjonarna,On-site,umowa o pracę,Employment contract,consulting / analiza,Business & systems analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-consultant-junior-analyst-warszawa-grzybowska-61%2Coferta%2C1002290076,2026-07-09,"analiza, consulting, informacje biznesowe",junior/mid,pasuje częściowo – analiza i praca z informacją,archiwalna / do weryfikacji,No,No
44,Pracuj.pl,Junior Analyst - Młodszy Analityk,Mercer,Warszawa,junior,Junior / entry,brak danych,Unknown,umowa o pracę,Employment contract,analityczne / consulting,Business & systems analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-analyst-mlodszy-analityk-warszawa%2Coferta%2C1001116807,2026-07-09,"analiza danych, raportowanie",junior,pasuje – młodszy analityk,archiwalna / do weryfikacji,No,No
45,Pracuj.pl,Junior Analyst & Administration Operations Specialist,Raiffeisen Tech,Warszawa,junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę,Employment contract,administracja / analiza operacyjna,Operations & data support,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-analyst-administration-operations-specialist-warszawa-plac-konesera-12%2Coferta%2C1003335207,2026-07-09,analiza i administracja operacyjna,junior,pasuje – administracja informacji i operacje,archiwalna / do weryfikacji,No,No
46,Pracuj.pl,Junior Analyst with German,Jones Lang LaSalle,Warszawa,junior/mid,Junior–Mid,zdalna/hybrydowa,Hybrid,umowa o pracę,Employment contract,analityczne / języki,Data analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-analyst-with-german-warszawa%2Coferta%2C1003475461,2026-07-09,"analizy, praca z informacją","angielski, niemiecki",pasuje częściowo – analiza i języki,archiwalna / do weryfikacji,No,No
47,Pracuj.pl,Junior BI Analyst,Audioteka S.A.,Warszawa,junior,Junior / entry,brak danych,Unknown,brak danych,Unknown,BI / dane,Reporting & BI,BI,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-bi-analyst-warszawa%2Coferta%2C1000428838,2026-07-09,analiza danych BI,junior,"pasuje – BI, dane, raportowanie",archiwalna / do weryfikacji,No,No
48,Pracuj.pl,Junior BI Developer,Performance Media,Warszawa,junior,Junior / entry,brak danych,Unknown,brak danych,Unknown,BI / dane,Reporting & BI,BI,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-bi-developer-warszawa-bukszpanowa-18%2Coferta%2C1002403598,2026-07-09,"dashboardy, raporty, dane",junior,pasuje – BI i dane,archiwalna / do weryfikacji,No,No
49,Pracuj.pl,Junior BI Developer,BI RABBIT sp. z o.o.,Warszawa,junior/mid,Junior–Mid,stacjonarna,On-site,umowa zlecenie / B2B,Multiple options,BI / dane,Reporting & BI,BI,4 000–6 000 zł brutto/mies.,Yes,Needs verification,https://www.pracuj.pl/praca/junior-bi-developer-warszawa%2Coferta%2C1001499719,2026-07-09,"raportowanie, BI",junior/mid,pasuje – BI i dane,archiwalna / do weryfikacji,No,No
50,Pracuj.pl,Junior BI Developer,A.T. Kearney Sp. z o.o.,Warszawa,junior,Junior / entry,brak danych,Unknown,brak danych,Unknown,BI / dane,Reporting & BI,BI,brak danych,No,Needs verification,https://www.pracuj.pl/praca/junior-bi-developer-warszawa%2Coferta%2C1001929235,2026-07-09,"analiza BI, raportowanie",junior,pasuje – BI i informacja,archiwalna / do weryfikacji,No,No
51,Pracuj.pl,Młodszy Analityk Danych,Sii Sp. z o.o.,Warszawa,junior,Junior / entry,brak danych,Unknown,brak danych,Unknown,analityczne / dane,Data analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/mlodszy-analityk-danych-warszawa%2Coferta%2C1001572248,2026-07-09,analiza danych,junior,pasuje – młodszy analityk danych,archiwalna / do weryfikacji,No,No
52,Pracuj.pl,Młodszy Analityk Danych,GEODIS Poland Sp. z o.o.,Warszawa,junior,Junior / entry,stacjonarna,On-site,umowa o pracę,Employment contract,analityczne / logistyka,Data analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/mlodszy-analityk-danych-warszawa-postepu-17b%2Coferta%2C1004375905,2026-07-09,"analiza danych, logistyczne informacje organizacyjne",angielski,"pasuje – dane, analiza, logistyka",archiwalna / do weryfikacji,No,No
53,Pracuj.pl,Młodszy Analityk Danych (LUX MED Ubezpieczenia),LUX MED Sp. z o.o.,Warszawa,mid,Mid+,hybrydowa,Hybrid,umowa o pracę,Employment contract,analityczne / ubezpieczenia,Data analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/mlodszy-analityk-danych-lux-med-ubezpieczenia-warszawa-szturmowa-2%2Coferta%2C1003971191,2026-07-09,analiza danych,mid,"pasuje merytorycznie, ale poziom wyższy",archiwalna / do weryfikacji,No,No
54,Pracuj.pl,Młodszy analityk danych w Zespole Wsparcia Ryzyka,AvaFin,Warszawa,junior,Junior / entry,hybrydowa,Hybrid,umowa o pracę / B2B,Multiple options,risk/data,Data analysis,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/mlodszy-analityk-danych-w-zespole-wsparcia-ryzyka-warszawa-bukowinska-22%2Coferta%2C1004521274,2026-07-09,analiza danych ryzyka,junior,pasuje – analiza danych i ryzyko,archiwalna / do weryfikacji,No,No
55,Pracuj.pl,Młodszy Specjalista ds. Raportowania i Analiz Aktuarialnych,brak danych,Warszawa,junior,Junior / entry,brak danych,Unknown,brak danych,Unknown,raportowanie / analizy,Reporting & BI,brak danych,brak danych,No,Needs verification,https://www.pracuj.pl/praca/mlodszy-specjalista-ds-raportowania-i-analiz-aktuarialnych-mssf17-warszawa%2Coferta%2C1003198446,2026-07-09,"analizy aktuarialne, raportowanie",junior,pasuje – raportowanie i analiza danych,archiwalna / do weryfikacji,No,No
